"magnitude","latitude","longitude","depth"
"5","38.0061","36.4959","10"
"4.1","36.3259","36.2434","10"
"4.4","36.7009","36.3794","10"
"4.5","36.2022","36.1959","10"
"4.4","37.9558","38.313","10"
"4.2","38.0593","36.7087","10"
"4.3","37.1511","36.671","10"
"4.1","37.1601","36.6433","10"
"4.3","37.8759","38.1193","10"
"4.1","38.0835","37.1939","14.197"
"4.5","36.0927","35.8637","10"
"4.2","38.0992","36.5507","6.069"
"4.2","38.0663","36.5541","12.635"
"4.1","37.4201","36.9564","12.635"
"4.7","37.904","37.4957","3.541"
"4.6","38.5889","39.9722","10"
"4.4","38.0472","36.9204","13"
"4.4","37.9172","42.8093","3.523"
"4.4","37.8659","38.2929","26.793"
"5.3","37.9358","36.6013","17.857"
"4.2","38.0002","36.4438","8.524"
"4.2","37.8896","37.6276","16.287"
"4.1","37.9421","37.323","17.033"
"4.2","36.0086","35.9967","10"
"5","37.9939","36.4771","11.132"
"4.7","37.3758","37.1447","10"
"4.4","38.0426","36.5803","10"
"4.5","36.0984","35.8449","10"
"4.5","38.2171","38.263","15.409"
"4.4","37.9808","37.6619","3.759"
"4.1","37.8906","36.6707","10"
"4.5","37.8696","36.6642","8.656"
"4.6","36.0958","35.9441","10"
"4.6","38.3061","38.1915","16.052"
"5.3","38.0164","38.57","12.988"
"4.2","37.5226","37.1468","10.944"
"4.2","38.1471","36.3693","20.355"
"4.2","37.8817","37.528","10"
"4.3","38.1372","38.537","15.974"
"4.3","36.5768","36.4539","10"
"4.2","36.8855","36.6006","10"
"4.4","38.0311","37.5813","16.18"
"5.4","38.0971","38.6398","9.063"
"4.5","38.3144","37.5808","5.787"
"4.5","38.0342","36.455","6.359"
"4.2","37.3357","36.8762","7.505"
"4.1","38.0668","38.1413","17.718"
"4.4","36.1531","36.3488","13.661"
"4.4","36.8131","36.6306","10"
"3.9","37.9036","37.4321","10"
"4.1","37.7181","37.4217","10"
"4.2","37.507","37.227","10"
"4.3","36.2678","36.2151","10"
"4.3","37.748","37.6323","10"
"4.6","37.6089","37.3755","10"
"5.5","37.7639","37.7309","10"
"4.8","37.917","37.6406","10"
"4.3","37.3373","37.1197","10"
"4.4","38.0387","36.5733","10"
"4.4","38.1044","36.9078","10"
"4.2","38.6041","37.5154","15.268"
"4.1","38.0265","37.5093","10"
"4.4","37.4326","37.0521","10"
"4.4","38.0152","36.5543","10"
"4.2","38.0903","36.7693","10"
"4.3","38.0195","36.4624","10"
"4.2","37.8431","36.6148","10"
"4.2","37.9846","37.404","10"
"4","37.9341","36.6247","11.221"
"4.2","38.0613","36.5637","13.174"
"4.1","38.0473","36.4145","6.86"
"4.2","37.9513","37.4756","5.481"
"4.4","38.1918","38.1778","8.296"
"4.1","38.0814","36.8993","10.236"
"4.7","38.032","36.5882","9.855"
"4.9","38.072","37.034","10.235"
"4.5","36.7444","36.4904","19.625"
"4.4","37.9263","36.4655","10"
"4.8","38.2106","38.2511","10"
"4.3","36.1512","36.1819","10"
"4.8","38.0063","36.5773","10"
"4.9","38.2636","37.9916","10"
"5.3","37.2507","37.0859","10"
"4.1","38.0887","38.6825","10"
"4.3","37.9649","36.479","6.59"
"4.3","37.8934","37.6383","14.754"
"4.8","38.0339","36.3096","10"
"4.2","38.0947","36.6422","10"
