latitude,longitude,depth,magnitude,exponent
2.55,-84.32,15,5.05,23
38.85,16.98,39.5,5.22,23
-40.81,43.35,15,5.2,23
35.27,24.08,45.3,5.68,24
46.77,154.25,17.3,5.66,24
-11.21,118.03,15,5.75,24
-11.14,118.23,23.3,8.3,28
-11.01,119.41,33,5.88,24
-10.8,119.31,33,5.82,24
16.61,-86.65,40.2,6.07,25
16.71,-86.95,38.2,6.33,25
-10.79,119.67,16.1,6.29,25
-11.08,119.5,15,6.59,25
-10.77,119.57,19.7,5.72,24
35.42,140.99,15,5.55,24
-29.84,-177.54,64,5.21,23
-10.79,119.35,15,5.58,24
-21.32,-68.23,136,5.39,24
-11.16,117.83,15,5.47,24
-11.13,118.96,15,5.21,23
-15.01,-177.73,15,5.5,24
-10.82,119.57,21.8,6.31,25
-10.65,119.4,33,6.04,25
-59.6,-19.72,30.2,7.18,26
-7.92,125.72,32.3,7.04,26
38.21,8.21,15,5.44,24
-29.02,-176.84,27.8,5.8,24
-0.51,146.18,15,5.83,24
-59.84,-21.33,15,5.77,24
17.38,119.61,24.6,6.28,25
52.35,-173.68,15,5.44,24
7.4,-75.97,15,6.52,25
-11.85,117.45,33,5.18,23
26.09,126.59,102.8,5.57,24
-11.2,119.03,20.6,6.17,25
-15.61,-172.92,44.4,5.48,24
12.27,-88.22,42.3,5.66,24
-14.01,166.56,47.4,6.61,26
51.05,178.32,15,6.59,25
50.41,178.34,15,6.73,26
51.45,176.47,16.8,6.64,26
50.87,178.16,26.3,5.76,24
-11.06,118.63,33,5.34,24
-10.36,160.79,60.4,5.64,24
2.19,126.63,34.7,5.54,24
-5.83,142.95,15,5.76,24
-11.33,119.79,15,5.49,24
-1.52,127.87,53.7,5.5,24
-33.69,77.81,15,4.97,23
42.59,131.86,567.7,5.2,23
13.46,-92.16,15,5.49,24
-7.03,106.9,137.9,5.67,24
-59.66,148.92,15,5.64,24
-15.48,-173.02,15,5.71,24
34.51,22.99,36.8,5.79,24
-12.97,-14.4,15,5.56,24
-60.15,-25.87,15,5.64,24
-15.21,-173.41,17.4,6.12,25
-56.74,-26.25,15,6.11,25
45.8,12.63,15,5.37,24
11.77,143.06,15,6.21,25
-13.75,166.4,64.1,5.4,24
-2.31,126.11,15,6.24,25
-16.01,177.79,15,5.49,24
-27.6,-177.9,202.8,5.54,24
-23.57,-68.51,123.8,5.62,24
-23.52,-174.76,15,5.49,24
20.26,-109.75,15,5.81,24
51.04,155.82,212.7,6.33,25
-11.33,118.04,20,5.76,24
-5.42,129.18,304.8,5.37,24
-22.14,-179.24,607.3,5.35,24
-11.58,117.55,33,5.6,24
-60.19,149.19,15,6.06,25
10.87,-85.67,46.7,5.77,24
-16.45,-172.92,15,5.93,25
-9.61,118.04,15,5.68,24
11.68,121.62,15,5.88,24
10.16,-61.99,21,5.24,23
35.85,139.41,31.6,5.35,24
-28.34,-71.43,52.7,5.47,24
40.39,33.62,16.1,5.79,24
-28.98,-176.66,20.5,5.49,24
-18.66,-177.92,575.2,5.75,24
-11.41,117.77,33,5.18,23
-11.38,116.74,33,5.53,24
-9.75,117.49,33,6.01,25
-10.08,117.73,38.1,5.51,24
-10.09,117.41,19.2,6.42,25
-9.61,117.37,25.8,5.99,25
-9.56,117.98,33,5.98,25
-9.56,117,33,5.62,24
-9.91,117.41,33,5.89,24
-9.83,-74.22,137.2,5.42,24
13.18,124.46,39.3,5.94,25
-9.93,117.29,33,5.58,24
-10.03,117.66,30.2,5.38,24
-6.7,126.16,322.9,5.18,23
-26.1,-174.88,23.4,7.28,27
-11.25,119.82,15,5.36,24
-54.31,144.02,15,5.82,24
23.27,93.16,60.8,5.42,24
-15.83,-173.01,15.9,6.08,25
-15.68,166.85,123.6,5.75,24
46.93,154.1,28.7,5.87,24
-29.97,-176.23,15,5.51,24
-9.57,117.46,33,6.23,25
-1.06,126.89,63.4,5.66,24
-27.93,173.88,17.4,6.98,26
-18.3,-178.47,629.4,5.56,24
-21.08,-173.33,15,5.56,24
27.57,55.12,15,5.49,24
22.64,122.09,130.9,5.53,24
47,154.49,36.1,5.71,24
56.39,164.36,15,5.41,24
7.58,-73.17,169.3,5.24,23
-28.13,-62.62,614.9,6.77,26
-22.32,-179.15,600.9,5.35,24
