"utc_date","latitude","longitude","depth","magnitude"
"10/16/2010","-11.3741","-76.1517","150","4.5"
"10/16/2010","-7.9029","-74.3843","39","4.6"
"10/17/2010","-11.8705","-72.4537","164","5.5"
"10/17/2010","-10.4848","-78.5182","81","4.9"
"10/19/2010","-10.7623","-78.0809","46","4.6"
"10/19/2010","-4.4973","-81.545","49","4.6"
"10/19/2010","-16.9913","-69.3426","176","4.5"
"10/20/2010","-14.194","-73.0105","98","4.5"
"10/22/2010","-10.2428","-79.1061","43","4.8"
"10/22/2010","-18.3815","-71.4717","26","4.9"
"10/22/2010","-8.3404","-80.3279","21","4.5"
"10/23/2010","-17.867","-71.4629","28","4.7"
"10/24/2010","-16.0564","-72.6405","167","4.5"
"10/26/2010","-8.3088","-80.5095","44","4.9"
"10/26/2010","-7.2993","-81.4656","51","5.2"
"10/27/2010","-16.2257","-70.1003","198","4.7"
"10/28/2010","-10.5259","-78.2804","34","4.6"
"10/30/2010","-7.5762","-70.9568","429","5.1"
"11/1/2010","-10.9357","-77.3764","46","4.7"
"11/3/2010","-13.8001","-76.567","48","5.3"
"11/5/2010","-10.9156","-74.2057","200","4.5"
"11/5/2010","-15.8663","-75.4631","40","4.7"
"11/6/2010","-17.04","-72.657","54","4.1"
"11/6/2010","-18.4301","-69.8834","153","5.5"
"11/6/2010","-8.2929","-75.0586","13","4.8"
"11/7/2010","-15.9315","-73.4841","53","4.5"
"11/7/2010","-12.1136","-72.3117","139","4.5"
"11/8/2010","-14.4333","-75.8353","53","4.6"
"11/8/2010","-11.6369","-78.0804","43","4.7"
"11/9/2010","-15.1582","-71.825","141","5"
"11/9/2010","-6.109","-76.2434","32","4.5"
"11/9/2010","-4.3386","-77.1417","152","4.7"
"11/10/2010","-10.8615","-78.6377","55","4.7"
"11/10/2010","-12.4654","-77.3362","56","4.9"
"11/11/2010","-9.7486","-74.681","24","4.5"
"11/12/2010","-7.039","-80.9078","7","4.5"
"11/12/2010","-15.7835","-72.798","28","4.5"
"11/14/2010","-10.2186","-77.1516","41","4.7"
"11/15/2010","-8.4816","-75.5478","56","4.7"
"11/15/2010","-8.4184","-76.1505","42","4.5"
"11/16/2010","-16.4457","-71.907","166","4.6"
"11/16/2010","-15.2357","-72.6276","29","4.6"
"11/17/2010","-16.188","-75.508","56","5.2"
"11/17/2010","-16.0089","-75.0594","16","5.4"
"11/17/2010","-15.9381","-75.4832","32","4.7"
"11/17/2010","-15.8867","-75.322","36","4.8"
"11/17/2010","-15.866","-75.1977","32","4.5"
"11/17/2010","-16.028","-75.2559","25","4.9"
"11/18/2010","-16.1309","-75.4325","22","5.3"
"11/18/2010","-9.718","-78.8652","46","4.7"
"11/18/2010","-4.8948","-81.3067","56","4.7"
"11/18/2010","-15.7027","-72.9384","18","4.7"
"11/18/2010","-14.4479","-72.7857","63","4.6"
